Name,Not standardized
Alkoholfri,19
Aroma,19
Bær,19
Besk,19
Bitter,19
Blomst,19
Brændtsmag,19
Brus,19
Chokolade,19
Cider,19
Citrus,19
Dyr,19
Eftersmag,19
Festivaløl,19
Frisk,19
Frugtig,19
Gæret,19
Gammel,19
Gran,19
Harmonisk,19
Hav,19
Honning,19
Humlet,19
Hvede,19
IPA,19
Kaffe,19
Karamel,19
Klistret,19
Kompleks,19
Kraftig,19
Krydret,19
Kvalmende,19
Kvindelig,19
Lakrids,19
Let,19
Maltede,19
Mandig,19
Metal,19
Mild,19
Mjød,19
Mørk,19
Neutral,19
Nøddeagtig,19
Normal,19
Olie,19
Øllebrød,19
Ølslat,19
Pandekage,19
Rævepis,19
Rengøringsmiddel,19
Røget,19
Rugbrød,19
Rund,19
Skarp,19
Sød,19
Sodavand,19
Sommerlig,19
Spiritus,19
Sprittet,19
Syntetisk,19
Syrlig,19
Tør,19
Tung,19
Værtshus,19
Vandet,19
Vin,19
Weissbier,19
