,Tuborg Nul,Tuborg Classic,Strandengen Classic,Kvan pilsner (Pilsner),Sebastian (Belgisk Wit),Amigo (Pilsner),Hagen Bock (Bock),Heden Hvede (Hvedeøl),Nørredybet IPA (IPA),Wiener Walzer (Classic),Odden Brown Ale (Brown Ale),Amarillo (IPA),Angelina (Mai Bock),Brown Bella (Belgisk Dubbel),Alexander (Baltisk Porter),Aronia (Berliner Weisse)
Tuborg Nul,"0,00","25,56","20,28","19,56","18,30","22,96","29,24","25,03","32,79","25,65","36,52","23,01","29,21","31,99","31,57","21,64"
Tuborg Classic,"25,56","0,00","23,85","26,10","25,77","13,24","28,91","20,88","28,16","21,55","22,53","23,66","17,19","21,92","32,23","31,45"
Strandengen Classic,"20,28","23,85","0,00","23,37","12,66","29,42","23,37","8,54","23,37","28,84","31,44","23,09","23,87","23,99","22,39","25,68"
Kvan pilsner (Pilsner),"19,56","26,10","23,37","0,00","16,10","17,66","28,22","23,37","21,52","22,37","23,37","19,78","27,85","25,32","36,72","34,90"
Sebastian (Belgisk Wit),"18,30","25,77","12,66","16,10","0,00","21,21","18,75","19,45","29,67","24,47","35,96","22,66","23,61","26,42","27,69","22,54"
Amigo (Pilsner),"22,96","13,24","29,42","17,66","21,21","0,00","22,14","24,04","24,60","15,96","15,90","21,56","15,13","17,21","24,88","31,15"
Hagen Bock (Bock),"29,24","28,91","23,37","28,22","18,75","22,14","0,00","23,37","25,73","10,99","23,37","18,75","12,51","16,19","16,31","24,00"
Heden Hvede (Hvedeøl),"25,03","20,88","8,54","23,37","19,45","24,04","23,37","0,00","23,37","24,50","24,44","24,78","18,76","16,34","16,68","32,77"
Nørredybet IPA (IPA),"32,79","28,16","23,37","21,52","29,67","24,60","25,73","23,37","0,00","18,05","23,37","24,37","31,03","32,40","35,48","33,30"
Wiener Walzer (Classic),"25,65","21,55","28,84","22,37","24,47","15,96","10,99","24,50","18,05","0,00","15,11","26,39","12,52","23,34","23,37","34,90"
Odden Brown Ale (Brown Ale),"36,52","22,53","31,44","23,37","35,96","15,90","23,37","24,44","23,37","15,11","0,00","29,69","18,99","15,46","17,77","45,69"
Amarillo (IPA),"23,01","23,66","23,09","19,78","22,66","21,56","18,75","24,78","24,37","26,39","29,69","0,00","28,78","21,84","23,56","20,88"
Angelina (Mai Bock),"29,21","17,19","23,87","27,85","23,61","15,13","12,51","18,76","31,03","12,52","18,99","28,78","0,00","16,98","24,13","35,57"
Brown Bella (Belgisk Dubbel),"31,99","21,92","23,99","25,32","26,42","17,21","16,19","16,34","32,40","23,34","15,46","21,84","16,98","0,00","14,96","30,99"
Alexander (Baltisk Porter),"31,57","32,23","22,39","36,72","27,69","24,88","16,31","16,68","35,48","23,37","17,77","23,56","24,13","14,96","0,00","25,55"
Aronia (Berliner Weisse),"21,64","31,45","25,68","34,90","22,54","31,15","24,00","32,77","33,30","34,90","45,69","20,88","35,57","30,99","25,55","0,00"
