Row,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,Syntetisk ,Sodavand,Malt,Kompleks,Tang,Blomst
Alexander,3.28+-0.87,1.97+-0.86,0.82+-0.54,1.32+-0.59,0.83+-0.65,1.35+-0.77,4.77+-0.72,3.37+-0.8,3.33+-1.06,4.28+-0.77,2.28+-0.76,0.53+-0.45,2.53+-0.81,3.17+-0.87,2.55+-1,2.4+-1.05,2.27+-1.01,1.73+-0.81,1.35+-0.8,4.32+-0.66,2.23+-0.93,0.77+-0.53,1.97+-0.7,3.18+-0.76,0.93+-0.49,2.95+-1.04,2.62+-0.82,0.5+-0.49,2.75+-0.92,2.65+-0.87,3.4+-1.01,2.92+-0.93,1.57+-0.89,1.17+-0.81,1.33+-0.74,0.37+-0.44,3.35+-0.77,3.53+-0.79,0.8+-0.68,0.68+-0.54
Amarillo,2.97+-0.82,1.93+-0.74,2.1+-0.82,2.75+-0.76,1.32+-0.66,2.67+-0.89,2.83+-0.82,2.23+-0.78,1.32+-0.82,1.78+-0.8,2.33+-0.66,1.32+-0.55,2.52+-0.71,2.77+-0.73,0.67+-0.6,1.27+-0.75,0.6+-0.58,1.87+-0.71,1.35+-0.77,3.18+-0.71,1.23+-0.74,1.98+-0.78,2.8+-0.7,2.82+-0.8,2.18+-0.67,0.72+-0.58,3.2+-0.78,1.67+-0.85,1.63+-0.7,1.68+-0.71,1.3+-0.8,1.27+-0.77,0.6+-0.54,0.93+-0.71,1.17+-0.57,0.7+-0.59,2.52+-0.72,2.8+-0.69,0.7+-0.58,1.92+-0.82
Angelina,3.38+-0.74,1.52+-0.74,1.8+-0.86,2.25+-0.77,0.9+-0.71,1.67+-0.7,3.2+-0.75,2.35+-0.81,1.82+-0.92,2.22+-0.94,2.3+-0.76,1.45+-0.66,2.27+-0.72,2.8+-0.85,0.73+-0.62,1.25+-0.76,0.73+-0.59,1.87+-0.74,1.18+-0.85,3.48+-0.83,1.48+-0.77,1.83+-0.75,2.27+-0.73,2.8+-0.74,2.1+-0.65,0.9+-0.73,3.07+-0.78,1.18+-0.71,1.73+-0.74,1.92+-0.86,1.7+-0.88,1.65+-0.8,0.85+-0.66,1.07+-0.71,1.37+-0.73,0.53+-0.53,2.65+-0.74,2.78+-0.78,0.62+-0.54,1.37+-0.73
Amigo,2.57+-0.92,1.65+-0.68,2.7+-0.81,2.53+-0.81,0.95+-0.61,2.4+-0.75,1.98+-0.84,1.27+-0.75,0.75+-0.68,0.97+-0.62,2.05+-0.66,2.68+-0.79,1.97+-0.73,2.28+-0.9,0.28+-0.39,0.53+-0.49,0.22+-0.3,1.72+-0.79,0.92+-0.68,2.48+-0.79,0.85+-0.59,2.97+-0.86,2.02+-0.68,2.07+-0.7,2.62+-0.76,0.25+-0.3,2.75+-0.78,1.98+-0.77,1.33+-0.71,1.45+-0.74,0.55+-0.58,1.07+-0.64,0.52+-0.46,1.13+-0.76,1.67+-0.86,0.98+-0.76,2.3+-0.71,1.7+-0.72,0.7+-0.64,1.98+-0.79
Aronia,2.3+-1,3.02+-0.95,3.83+-1,4.6+-0.9,4.28+-0.88,4.53+-0.86,2.88+-0.87,1.32+-0.86,0.53+-0.57,0.78+-0.73,1.33+-0.76,1.8+-0.88,1.43+-0.8,3.27+-1.02,0.25+-0.46,0.33+-0.48,0.25+-0.4,1.87+-0.86,0.62+-0.61,2.77+-0.92,0.42+-0.49,1.9+-0.89,2.17+-0.7,2.95+-0.8,0.9+-0.56,0.2+-0.38,1+-0.65,4.18+-0.94,1.37+-0.75,1.37+-0.73,0.3+-0.5,0.38+-0.58,0.68+-0.77,1.57+-0.94,3.4+-0.88,2.87+-1,0.87+-0.59,2.45+-0.86,0.7+-0.79,3.27+-0.87
Sebastian,2.38+-0.85,2.55+-0.78,3.48+-0.77,3.23+-0.82,2.05+-0.81,3.62+-0.82,1.95+-0.79,1.35+-0.72,0.52+-0.49,0.78+-0.51,2.22+-0.69,2.23+-0.9,1.9+-0.78,2.47+-0.85,0.33+-0.36,0.62+-0.54,0.23+-0.31,1.55+-0.69,1.22+-0.7,2.47+-0.67,0.63+-0.48,3.1+-0.97,2.5+-0.74,2.8+-0.86,2.25+-0.67,0.25+-0.34,2.72+-0.85,2.52+-0.91,1.3+-0.65,1.38+-0.74,0.42+-0.42,0.42+-0.39,0.65+-0.59,1.03+-0.74,1.75+-0.79,1.22+-0.7,1.9+-0.7,2.13+-0.77,0.47+-0.52,2.98+-0.85
Wiener Walzer,2.55+-0.75,1.47+-0.6,1.82+-0.71,2.15+-0.82,0.88+-0.67,1.82+-0.82,2.15+-0.73,1.83+-0.7,1.23+-0.63,1.6+-0.69,2.2+-0.7,2.35+-0.79,2.08+-0.7,2.45+-0.88,0.62+-0.57,0.95+-0.72,0.52+-0.49,1.48+-0.74,1.07+-0.68,2.32+-0.68,1.12+-0.69,2.53+-0.81,2.13+-0.7,2.22+-0.6,2.62+-0.75,0.45+-0.44,2.52+-0.71,1.22+-0.8,1.48+-0.61,1.55+-0.68,1.23+-0.71,1.42+-0.67,0.58+-0.47,0.77+-0.58,1.33+-0.71,0.37+-0.42,2.57+-0.72,1.87+-0.66,0.65+-0.62,1.12+-0.73
Tuborg Classic,2.23+-0.73,1.67+-0.77,1.35+-0.68,1.88+-0.73,0.77+-0.59,1.33+-0.69,2.12+-0.76,1.47+-0.75,0.85+-0.63,1.45+-0.7,2.57+-0.72,2.37+-0.86,2.05+-0.79,1.92+-0.78,0.37+-0.5,0.8+-0.58,0.27+-0.33,1.65+-0.67,0.73+-0.56,2.3+-0.69,1.02+-0.64,3.02+-0.82,2.65+-0.74,1.97+-0.76,3.78+-0.96,0.3+-0.39,2.73+-0.62,1.03+-0.61,1.43+-0.66,1.28+-0.67,0.83+-0.62,1.12+-0.65,0.63+-0.55,0.55+-0.54,1.12+-0.65,0.73+-0.54,2.52+-0.62,1.48+-0.6,0.62+-0.58,0.98+-0.64
Brown Bella,3.22+-0.73,1.6+-0.78,1.15+-0.61,1.87+-0.84,0.75+-0.59,1.47+-0.75,3.83+-0.76,2.77+-0.82,2.38+-0.97,2.98+-0.96,2.28+-0.73,0.88+-0.54,2.37+-0.8,2.78+-0.87,1.33+-0.83,1.75+-0.82,1.17+-0.72,1.9+-0.78,1.07+-0.74,3.63+-0.7,1.82+-0.78,1.35+-0.72,2.33+-0.76,2.93+-0.72,1.77+-0.82,1.88+-0.92,2.73+-0.77,0.65+-0.55,1.78+-0.82,2+-0.83,2.47+-0.93,2.3+-0.79,1.03+-0.72,0.9+-0.77,1.32+-0.69,0.33+-0.34,3.08+-0.75,2.87+-0.79,0.88+-0.69,1.12+-0.77
Tuborg Nul,1.32+-0.71,2.53+-0.87,2.52+-0.97,2.27+-0.95,2.12+-0.92,2.77+-0.95,1.02+-0.79,1.28+-0.8,0.42+-0.41,0.63+-0.5,1.85+-0.72,4.02+-0.94,1.18+-0.71,1.48+-0.87,0.17+-0.23,0.9+-0.7,0.22+-0.36,1.23+-0.68,0.73+-0.57,1.87+-0.79,0.95+-0.68,4.18+-0.92,2+-0.8,1.75+-0.79,1.5+-0.68,0.25+-0.36,1.43+-0.69,2.53+-0.94,0.7+-0.5,0.75+-0.6,0.27+-0.29,0.95+-0.71,0.77+-0.63,1.22+-0.89,2.32+-0.87,1.77+-0.9,1.38+-0.61,1.47+-0.79,0.68+-0.66,2.62+-0.91
