ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_4661456_51_46__11_1_12,Angelina,1,3,4,2,0,1,1,1,1,2,4,1,1,0,0,2,0,0,0,0,1,3,4,3,3,0,0,2,1,1,1,1,0,1,0,2,1,1,2,2
ID_4661456_51_46__11_1_12,Alexander,2,0,3,2,0,2,6,2,6,5,4,0,1,3,0,0,0,0,0,5,1,0,1,3,1,4,0,0,1,1,6,1,2,0,0,0,1,4,2,0
ID_4661456_51_46__11_1_12,Aronia,1,5,4,5,5,5,3,0,0,0,0,2,1,3,0,0,0,2,0,1,0,3,2,3,1,0,0,4,1,1,0,0,0,1,1,4,0,1,0,4
ID_4661456_51_46__11_1_12,Amarillo,2,1,2,3,1,0,4,0,4,4,2,0,1,2,0,1,0,1,0,3,2,0,3,2,1,2,4,1,2,2,5,0,1,0,0,0,1,4,3,0
ID_4661456_51_46__11_1_12,Wiener Walzer,1,2,3,2,0,0,1,0,0,1,1,2,1,1,0,0,0,2,0,1,0,4,2,2,3,0,1,2,1,1,0,0,0,0,0,2,2,1,1,0
ID_4661456_51_46__11_1_12,Amigo,0,3,3,2,0,2,1,0,0,0,1,3,2,2,0,0,0,2,0,1,0,4,2,0,4,0,1,4,0,0,0,0,0,1,0,1,1,2,1,0
ID_4661456_51_46__11_1_12,Brown Bella,2,0,1,2,0,0,6,2,6,4,1,0,3,0,0,0,2,0,0,3,1,0,1,2,0,2,1,0,0,0,6,1,2,0,0,0,1,3,0,0
ID_4661456_51_46__11_1_12,Sebastian,1,5,4,4,1,3,0,0,0,0,2,3,1,4,0,0,0,1,1,1,0,4,4,4,3,0,1,4,1,1,0,0,0,1,0,2,1,0,0,4
ID_4661456_51_46__11_1_12,Tuborg Nul,1,1,1,1,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
ID_4661456_51_46__11_1_12,Tuborg Classic,1,1,2,3,1,1,0,0,0,0,0,2,1,0,0,1,0,2,0,1,0,4,3,0,3,0,1,2,1,0,0,0,0,0,0,0,2,0,1,1
