Row,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,Syntetisk ,Sodavand,Malt,Kompleks,Tang,Blomst
Ale,0.87,0.86,0.54,0.59,0.65,0.77,0.72,0.8,1.06,0.77,0.76,0.45,0.81,0.87,1,1.05,1.01,0.81,0.8,0.66,0.93,0.53,0.7,0.76,0.49,1.04,0.82,0.49,0.92,0.87,1.01,0.93,0.89,0.81,0.74,0.44,0.77,0.79,0.68,0.54
Ama,0.82,0.74,0.82,0.76,0.66,0.89,0.82,0.78,0.82,0.8,0.66,0.55,0.71,0.73,0.6,0.75,0.58,0.71,0.77,0.71,0.74,0.78,0.7,0.8,0.67,0.58,0.78,0.85,0.7,0.71,0.8,0.77,0.54,0.71,0.57,0.59,0.72,0.69,0.58,0.82
Ang,0.74,0.74,0.86,0.77,0.71,0.7,0.75,0.81,0.92,0.94,0.76,0.66,0.72,0.85,0.62,0.76,0.59,0.74,0.85,0.83,0.77,0.75,0.73,0.74,0.65,0.73,0.78,0.71,0.74,0.86,0.88,0.8,0.66,0.71,0.73,0.53,0.74,0.78,0.54,0.73
Ami,0.92,0.68,0.81,0.81,0.61,0.75,0.84,0.75,0.68,0.62,0.66,0.79,0.73,0.9,0.39,0.49,0.3,0.79,0.68,0.79,0.59,0.86,0.68,0.7,0.76,0.3,0.78,0.77,0.71,0.74,0.58,0.64,0.46,0.76,0.86,0.76,0.71,0.72,0.64,0.79
Aro,1,0.95,1,0.9,0.88,0.86,0.87,0.86,0.57,0.73,0.76,0.88,0.8,1.02,0.46,0.48,0.4,0.86,0.61,0.92,0.49,0.89,0.7,0.8,0.56,0.38,0.65,0.94,0.75,0.73,0.5,0.58,0.77,0.94,0.88,1,0.59,0.86,0.79,0.87
Seb,0.85,0.78,0.77,0.82,0.81,0.82,0.79,0.72,0.49,0.51,0.69,0.9,0.78,0.85,0.36,0.54,0.31,0.69,0.7,0.67,0.48,0.97,0.74,0.86,0.67,0.34,0.85,0.91,0.65,0.74,0.42,0.39,0.59,0.74,0.79,0.7,0.7,0.77,0.52,0.85
Wie,0.75,0.6,0.71,0.82,0.67,0.82,0.73,0.7,0.63,0.69,0.7,0.79,0.7,0.88,0.57,0.72,0.49,0.74,0.68,0.68,0.69,0.81,0.7,0.6,0.75,0.44,0.71,0.8,0.61,0.68,0.71,0.67,0.47,0.58,0.71,0.42,0.72,0.66,0.62,0.73
Cla,0.73,0.77,0.68,0.73,0.59,0.69,0.76,0.75,0.63,0.7,0.72,0.86,0.79,0.78,0.5,0.58,0.33,0.67,0.56,0.69,0.64,0.82,0.74,0.76,0.96,0.39,0.62,0.61,0.66,0.67,0.62,0.65,0.55,0.54,0.65,0.54,0.62,0.6,0.58,0.64
Bro,0.73,0.78,0.61,0.84,0.59,0.75,0.76,0.82,0.97,0.96,0.73,0.54,0.8,0.87,0.83,0.82,0.72,0.78,0.74,0.7,0.78,0.72,0.76,0.72,0.82,0.92,0.77,0.55,0.82,0.83,0.93,0.79,0.72,0.77,0.69,0.34,0.75,0.79,0.69,0.77
Nul,0.71,0.87,0.97,0.95,0.92,0.95,0.79,0.8,0.41,0.5,0.72,0.94,0.71,0.87,0.23,0.7,0.36,0.68,0.57,0.79,0.68,0.92,0.8,0.79,0.68,0.36,0.69,0.94,0.5,0.6,0.29,0.71,0.63,0.89,0.87,0.9,0.61,0.79,0.66,0.91
