Row,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,Syntetisk ,Sodavand,Malt,Kompleks,Tang,Blomst
Ale,3.3,2,0.8,1.3,0.8,1.4,4.8,3.4,3.3,4.3,2.3,0.5,2.5,3.2,2.6,2.4,2.3,1.7,1.4,4.3,2.2,0.8,2,3.2,0.9,3,2.6,0.5,2.8,2.7,3.4,2.9,1.6,1.2,1.3,0.4,3.4,3.5,0.8,0.7
Ama,3,1.9,2.1,2.8,1.3,2.7,2.8,2.2,1.3,1.8,2.3,1.3,2.5,2.8,0.7,1.3,0.6,1.9,1.4,3.2,1.2,2,2.8,2.8,2.2,0.7,3.2,1.7,1.6,1.7,1.3,1.3,0.6,0.9,1.2,0.7,2.5,2.8,0.7,1.9
Ang,3.4,1.5,1.8,2.3,0.9,1.7,3.2,2.4,1.8,2.2,2.3,1.5,2.3,2.8,0.7,1.3,0.7,1.9,1.2,3.5,1.5,1.8,2.3,2.8,2.1,0.9,3.1,1.2,1.7,1.9,1.7,1.7,0.9,1.1,1.4,0.5,2.7,2.8,0.6,1.4
Ami,2.6,1.7,2.7,2.5,1,2.4,2,1.3,0.8,1,2.1,2.7,2,2.3,0.3,0.5,0.2,1.7,0.9,2.5,0.9,3,2,2.1,2.6,0.3,2.8,2,1.3,1.5,0.6,1.1,0.5,1.1,1.7,1,2.3,1.7,0.7,2
Aro,2.3,3,3.8,4.6,4.3,4.5,2.9,1.3,0.5,0.8,1.3,1.8,1.4,3.3,0.3,0.3,0.3,1.9,0.6,2.8,0.4,1.9,2.2,3,0.9,0.2,1,4.2,1.4,1.4,0.3,0.4,0.7,1.6,3.4,2.9,0.9,2.5,0.7,3.3
Seb,2.4,2.6,3.5,3.2,2.1,3.6,2,1.4,0.5,0.8,2.2,2.2,1.9,2.5,0.3,0.6,0.2,1.6,1.2,2.5,0.6,3.1,2.5,2.8,2.3,0.3,2.7,2.5,1.3,1.4,0.4,0.4,0.7,1,1.8,1.2,1.9,2.1,0.5,3
Wie,2.6,1.5,1.8,2.2,0.9,1.8,2.2,1.8,1.2,1.6,2.2,2.4,2.1,2.5,0.6,1,0.5,1.5,1.1,2.3,1.1,2.5,2.1,2.2,2.6,0.5,2.5,1.2,1.5,1.6,1.2,1.4,0.6,0.8,1.3,0.4,2.6,1.9,0.7,1.1
Cla,2.2,1.7,1.4,1.9,0.8,1.3,2.1,1.5,0.9,1.5,2.6,2.4,2.1,1.9,0.4,0.8,0.3,1.7,0.7,2.3,1,3,2.7,2,3.8,0.3,2.7,1,1.4,1.3,0.8,1.1,0.6,0.6,1.1,0.7,2.5,1.5,0.6,1
Bro,3.2,1.6,1.2,1.9,0.8,1.5,3.8,2.8,2.4,3,2.3,0.9,2.4,2.8,1.3,1.8,1.2,1.9,1.1,3.6,1.8,1.4,2.3,2.9,1.8,1.9,2.7,0.7,1.8,2,2.5,2.3,1,0.9,1.3,0.3,3.1,2.9,0.9,1.1
Nul,1.3,2.5,2.5,2.3,2.1,2.8,1,1.3,0.4,0.6,1.9,4,1.2,1.5,0.2,0.9,0.2,1.2,0.7,1.9,1,4.2,2,1.8,1.5,0.3,1.4,2.5,0.7,0.8,0.3,1,0.8,1.2,2.3,1.8,1.4,1.5,0.7,2.6
