Row,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,Syntetisk ,Sodavand,Malt,Kompleks,Tang,Blomst
Ale,3.3+-0.9,2+-0.9,0.8+-0.5,1.3+-0.6,0.8+-0.6,1.4+-0.8,4.8+-0.7,3.4+-0.8,3.3+-1.1,4.3+-0.8,2.3+-0.8,0.5+-0.5,2.5+-0.8,3.2+-0.9,2.6+-1,2.4+-1.1,2.3+-1,1.7+-0.8,1.4+-0.8,4.3+-0.7,2.2+-0.9,0.8+-0.5,2+-0.7,3.2+-0.8,0.9+-0.5,3+-1,2.6+-0.8,0.5+-0.5,2.8+-0.9,2.7+-0.9,3.4+-1,2.9+-0.9,1.6+-0.9,1.2+-0.8,1.3+-0.7,0.4+-0.4,3.4+-0.8,3.5+-0.8,0.8+-0.7,0.7+-0.5
Ama,3+-0.8,1.9+-0.7,2.1+-0.8,2.8+-0.8,1.3+-0.7,2.7+-0.9,2.8+-0.8,2.2+-0.8,1.3+-0.8,1.8+-0.8,2.3+-0.7,1.3+-0.5,2.5+-0.7,2.8+-0.7,0.7+-0.6,1.3+-0.8,0.6+-0.6,1.9+-0.7,1.4+-0.8,3.2+-0.7,1.2+-0.7,2+-0.8,2.8+-0.7,2.8+-0.8,2.2+-0.7,0.7+-0.6,3.2+-0.8,1.7+-0.8,1.6+-0.7,1.7+-0.7,1.3+-0.8,1.3+-0.8,0.6+-0.5,0.9+-0.7,1.2+-0.6,0.7+-0.6,2.5+-0.7,2.8+-0.7,0.7+-0.6,1.9+-0.8
Ang,3.4+-0.7,1.5+-0.7,1.8+-0.9,2.3+-0.8,0.9+-0.7,1.7+-0.7,3.2+-0.8,2.4+-0.8,1.8+-0.9,2.2+-0.9,2.3+-0.8,1.5+-0.7,2.3+-0.7,2.8+-0.8,0.7+-0.6,1.3+-0.8,0.7+-0.6,1.9+-0.7,1.2+-0.8,3.5+-0.8,1.5+-0.8,1.8+-0.8,2.3+-0.7,2.8+-0.7,2.1+-0.7,0.9+-0.7,3.1+-0.8,1.2+-0.7,1.7+-0.7,1.9+-0.9,1.7+-0.9,1.7+-0.8,0.9+-0.7,1.1+-0.7,1.4+-0.7,0.5+-0.5,2.7+-0.7,2.8+-0.8,0.6+-0.5,1.4+-0.7
Ami,2.6+-0.9,1.7+-0.7,2.7+-0.8,2.5+-0.8,1+-0.6,2.4+-0.8,2+-0.8,1.3+-0.8,0.8+-0.7,1+-0.6,2.1+-0.7,2.7+-0.8,2+-0.7,2.3+-0.9,0.3+-0.4,0.5+-0.5,0.2+-0.3,1.7+-0.8,0.9+-0.7,2.5+-0.8,0.9+-0.6,3+-0.9,2+-0.7,2.1+-0.7,2.6+-0.8,0.3+-0.3,2.8+-0.8,2+-0.8,1.3+-0.7,1.5+-0.7,0.6+-0.6,1.1+-0.6,0.5+-0.5,1.1+-0.8,1.7+-0.9,1+-0.8,2.3+-0.7,1.7+-0.7,0.7+-0.6,2+-0.8
Aro,2.3+-1,3+-1,3.8+-1,4.6+-0.9,4.3+-0.9,4.5+-0.9,2.9+-0.9,1.3+-0.9,0.5+-0.6,0.8+-0.7,1.3+-0.8,1.8+-0.9,1.4+-0.8,3.3+-1,0.3+-0.5,0.3+-0.5,0.3+-0.4,1.9+-0.9,0.6+-0.6,2.8+-0.9,0.4+-0.5,1.9+-0.9,2.2+-0.7,3+-0.8,0.9+-0.6,0.2+-0.4,1+-0.6,4.2+-0.9,1.4+-0.8,1.4+-0.7,0.3+-0.5,0.4+-0.6,0.7+-0.8,1.6+-0.9,3.4+-0.9,2.9+-1,0.9+-0.6,2.5+-0.9,0.7+-0.8,3.3+-0.9
Seb,2.4+-0.8,2.6+-0.8,3.5+-0.8,3.2+-0.8,2.1+-0.8,3.6+-0.8,2+-0.8,1.4+-0.7,0.5+-0.5,0.8+-0.5,2.2+-0.7,2.2+-0.9,1.9+-0.8,2.5+-0.8,0.3+-0.4,0.6+-0.5,0.2+-0.3,1.6+-0.7,1.2+-0.7,2.5+-0.7,0.6+-0.5,3.1+-1,2.5+-0.7,2.8+-0.9,2.3+-0.7,0.3+-0.3,2.7+-0.9,2.5+-0.9,1.3+-0.7,1.4+-0.7,0.4+-0.4,0.4+-0.4,0.7+-0.6,1+-0.7,1.8+-0.8,1.2+-0.7,1.9+-0.7,2.1+-0.8,0.5+-0.5,3+-0.8
Wie,2.6+-0.7,1.5+-0.6,1.8+-0.7,2.2+-0.8,0.9+-0.7,1.8+-0.8,2.2+-0.7,1.8+-0.7,1.2+-0.6,1.6+-0.7,2.2+-0.7,2.4+-0.8,2.1+-0.7,2.5+-0.9,0.6+-0.6,1+-0.7,0.5+-0.5,1.5+-0.7,1.1+-0.7,2.3+-0.7,1.1+-0.7,2.5+-0.8,2.1+-0.7,2.2+-0.6,2.6+-0.8,0.5+-0.4,2.5+-0.7,1.2+-0.8,1.5+-0.6,1.6+-0.7,1.2+-0.7,1.4+-0.7,0.6+-0.5,0.8+-0.6,1.3+-0.7,0.4+-0.4,2.6+-0.7,1.9+-0.7,0.7+-0.6,1.1+-0.7
Cla,2.2+-0.7,1.7+-0.8,1.4+-0.7,1.9+-0.7,0.8+-0.6,1.3+-0.7,2.1+-0.8,1.5+-0.8,0.9+-0.6,1.5+-0.7,2.6+-0.7,2.4+-0.9,2.1+-0.8,1.9+-0.8,0.4+-0.5,0.8+-0.6,0.3+-0.3,1.7+-0.7,0.7+-0.6,2.3+-0.7,1+-0.6,3+-0.8,2.7+-0.7,2+-0.8,3.8+-1,0.3+-0.4,2.7+-0.6,1+-0.6,1.4+-0.7,1.3+-0.7,0.8+-0.6,1.1+-0.6,0.6+-0.6,0.6+-0.5,1.1+-0.6,0.7+-0.5,2.5+-0.6,1.5+-0.6,0.6+-0.6,1+-0.6
Bro,3.2+-0.7,1.6+-0.8,1.2+-0.6,1.9+-0.8,0.8+-0.6,1.5+-0.8,3.8+-0.8,2.8+-0.8,2.4+-1,3+-1,2.3+-0.7,0.9+-0.5,2.4+-0.8,2.8+-0.9,1.3+-0.8,1.8+-0.8,1.2+-0.7,1.9+-0.8,1.1+-0.7,3.6+-0.7,1.8+-0.8,1.4+-0.7,2.3+-0.8,2.9+-0.7,1.8+-0.8,1.9+-0.9,2.7+-0.8,0.7+-0.5,1.8+-0.8,2+-0.8,2.5+-0.9,2.3+-0.8,1+-0.7,0.9+-0.8,1.3+-0.7,0.3+-0.3,3.1+-0.8,2.9+-0.8,0.9+-0.7,1.1+-0.8
Nul,1.3+-0.7,2.5+-0.9,2.5+-1,2.3+-1,2.1+-0.9,2.8+-0.9,1+-0.8,1.3+-0.8,0.4+-0.4,0.6+-0.5,1.9+-0.7,4+-0.9,1.2+-0.7,1.5+-0.9,0.2+-0.2,0.9+-0.7,0.2+-0.4,1.2+-0.7,0.7+-0.6,1.9+-0.8,1+-0.7,4.2+-0.9,2+-0.8,1.8+-0.8,1.5+-0.7,0.3+-0.4,1.4+-0.7,2.5+-0.9,0.7+-0.5,0.8+-0.6,0.3+-0.3,1+-0.7,0.8+-0.6,1.2+-0.9,2.3+-0.9,1.8+-0.9,1.4+-0.6,1.5+-0.8,0.7+-0.7,2.6+-0.9
