ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_4091870_35_48__15_4_12,Angelina,4,0,1,5,0,3,4,3,0,0,2,2,1,0,0,0,0,1,0,5,0,1,1,2,3,0,4,2,0,0,0,0,0,2,3,0,1,2,0,0
ID_4091870_35_48__15_4_12,Alexander,2,2,2,2,0,3,3,3,0,0,2,1,0,0,0,0,0,0,0,2,0,2,3,2,3,1,3,0,0,1,0,0,0,0,2,2,1,1,0,0
ID_4091870_35_48__15_4_12,Aronia,0,5,4,1,3,2,1,0,0,0,5,1,0,0,0,0,0,4,0,3,0,6,3,3,1,0,0,5,2,1,0,0,0,0,3,4,0,2,0,3
ID_4091870_35_48__15_4_12,Amarillo,5,0,3,3,0,3,5,3,1,2,1,0,2,2,0,0,1,2,0,2,0,0,0,2,1,0,5,0,1,1,0,2,0,4,3,0,3,1,1,0
ID_4091870_35_48__15_4_12,Wiener Walzer,3,1,3,3,1,3,3,2,1,1,2,4,2,3,0,0,0,3,0,2,2,2,3,3,6,0,2,1,1,0,0,1,0,0,1,1,1,1,0,0
ID_4091870_35_48__15_4_12,Amigo,4,0,2,2,0,3,2,2,0,0,1,3,0,0,0,0,0,0,0,3,0,4,2,1,2,0,4,2,0,0,1,0,0,1,2,0,4,1,0,1
ID_4091870_35_48__15_4_12,Brown Bella,2,5,1,0,3,4,1,2,0,0,3,3,0,0,0,2,0,1,0,2,1,4,3,2,2,0,2,5,0,0,0,0,0,2,2,2,0,3,0,2
ID_4091870_35_48__15_4_12,Sebastian,1,5,3,3,2,3,2,1,0,0,4,4,2,2,0,0,0,3,0,3,0,1,4,2,2,0,2,3,0,0,0,0,0,0,2,1,2,2,0,3
ID_4091870_35_48__15_4_12,Tuborg Nul,0,5,4,2,5,4,1,1,0,0,4,6,0,0,0,0,0,1,0,1,0,6,4,5,0,0,0,5,0,0,0,3,0,0,1,1,0,1,0,5
ID_4091870_35_48__15_4_12,Tuborg Classic,4,0,2,2,4,3,1,2,0,0,2,3,0,1,0,0,0,0,0,3,0,1,2,3,6,0,4,3,0,0,0,0,0,0,2,0,3,2,0,1
