Attribut,Counter
 frugt,4
 sød,4
 frugtig,4
 passionsfrugt,4
 citrus,3
 krydret,3
 mild,3
 sprittet,3
 røget,2
 syrlig,2
 bær,2
 karamel,2
 honning,2
  frugtig,2
  røget,2
 kirsebær,2
 vingummi,2
 hyldeblomst,2
 skarp,2
  frisk,2
 kraftig duft,2
 kaffe,2
 rund,1
  fordi der blev nedstemt),1
 aroma af kanel (mener krydret og ikke kanel,1
 kaffelikør,1
 æble (tages tilbage),1
 fyldig,1
,1
 duften indikerer hvad smagen præcis er,1
 ikke stærk duft,1
 sød duft,1
 humle,1
 syrlig duft,1
  banan,1
  hyldeblomst,1
  citrus frugt,1
 neutral,1
  meget mild,1
  dufter meget anderledes,1
  tung efterduft,1
  let duft,1
 sødlig lugt,1
  ikke av i næsen,1
  karamel,1
 chokolade (mere end smagen),1
 let frugtig,1
 nellike,1
  svagt af røg,1
  dufter sød men overrasker,1
 lidt sød,1
  cider,1
  tung duft,1
  anderledes end smagen,1
  fersken,1
 gæret citrus,1
  sødt,1
  ikke frisk,1
  frugt har lagt et par dage,1
  bittert,1
 gæret lugt,1
 dufter af kaffe,1
 dufter meget sød,1
 dyb men ikke kraftig,1
  æbler,1
  kuldioxid ikke danskvand agtig (lidt),1
 dufter af mere end den smager af,1
 æble,1
 frugtigt,1
 æblecider,1
 lidt røg,1
 tung lugt,1
 kraftig-ish lugt,1
 medium øl duft,1
 sødlig,1
 kardemomme,1
 svagt røget,1
  blød,1
  mere syrlig end smag,1
  pilsner,1
 bourbon/whiskey,1
 brændt smør,1
 pandekager,1
 brændte mandler,1
 askebæger,1
 strand med tang,1
 ikke så meget,1
 lidt blomstret,1
 dufter af meget,1
 sodavandsis,1
 ødelagt mælkebøtte,1
 mjød,1
 parfumeret,1
 sæbe,1
 lys,1
 cognac,1
  ikke stærk lugt,1
 tjære,1
 lakrids,1
 tørv,1
 mørk,1
 mørk rom og cola,1
 toiletrens,1
 jordbær,1
 blomster,1
 kunstig jordbær,1
 syntetisk,1
 lugt af tis,1
 standard øl (classic),1
 frisk frugtig duft,1
 rom,1
 fin,1
 øllebrød,1
 duftløs (måske bias pga forkølelse),1
 tynd aroma,1
 syrlig frugtig,1
  ikke kraftig duft,1
  jul,1
  kraftig duft,1
 sødt,1
  luftig,1
  let,1
  forfriskende,1
 gammel,1
  gammeldags,1
  portvin,1
  bærduft,1
  umodne bær,1
  syrlige bær,1
 multijuice,1
 smule carlsberg duft,1
 ipa,1
 vestfyn,1
 ølslatter,1
 grøn tuborg som har stået og er blevet flad,1
 svag,1
 ikke så stærk,1
 mild sødhed,1
 næsten uden duft,1
 lidt gær,1
 kønsløs,1
 frisk,1
 ikke kraftig,1
 meget blid,1
æble duft,1
