Attribut,Counter
ipa,8
bitter ,8
tung,7
frugt,7
mild,7
citrus,7
kraftig smag,6
krydret,5
skarp,5
gæret,5
frisk,5
stærk,5
sur,5
chokolade,4
lakrids,4
malt,4
passionsfrugt,4
bitter eftersmag,4
røg,4
let,4
bitter,30
nøddeagtig,3
fyldig,3
røget,3
humle,3
kaffe ,3
gæret citrus,3
mild ,3
frisk ,3
sødt,3
alkoholfri,3
vandet,2
frugtig lugt,2
markant,2
stærk eftersmag,2
kanel,2
frugtigt,2
mørk,2
ikke kraftig,2
krydret ,2
nelliker ,2
æbler,2
ristet,2
blød i smagen,2
æbleduft,2
weissbier,2
mosaic humle,2
aromatisk,2
rund i smagen,2
citron,2
kraftig eftersmag,2
æble,2
rund,2
eftersmag,2
gær,2
ikke bitter,2
syrlig,16
frugtig,15
sød,15
kaffe,14
kraftig,13
svag sødme ,1
fersken,1
mindre kulsyrer,1
langvarig,1
spids smag,1
ristet malt,1
overgæret ale,1
blomstret,1
gær smag,1
lang eftersmag,1
meget besk,1
cider,1
mørkere malt,1
gær aroma,1
blomster,1
standard,1
hyldeblomst,1
æblecider,1
blød,1
ikke bitter ,1
neutral,1
æble ,1
dramatisk,1
sød rug,1
metalisk smag,1
flad smag,1
let fermenteret,1
blomme,1
tynd,1
sadtevand ,1
humlet,1
simpel,1
classic,1
medium ølduft ,1
intetsigende,1
fyldig duft,1
rund duft,1
høj alkoholprocent,1
balance mellem bitter og sødme,1
sødme,1
sidder i munden,1
lidt bitter,1
flad,1
ingen humle,1
duft af cider,1
mørk i smagen,1
bitterhed,1
sødlig,1
tykt,1
humle duft,1
kort varighed af smagen,1
mørk chokolade,1
lysere end porter,1
porter,1
tung i smagen,1
brændt smag,1
tung ,1
bliver i munden,1
frugter,1
lidt krydret,1
småcremet ,1
honning,1
tyk,1
ru,1
brændt marcipan,1
brændt,1
kilder tungen,1
stikkende duft,1
frugtsmag,1
let bitter,1
meget bitter,1
stærk kuldioxid,1
beske,1
kratig,1
syrligt,1
citron kerne,1
frugtig humle,1
citra,1
høj ibu,1
neipa,1
nødder,1
hazy ipa,1
bitterhed hænger i munden,1
kraftig lugt,1
stikkende på tungen,1
mindre vandet,1
lidt tungere,1
10/10,1
kaffebolche,1
stikker på tungen,1
afrundet,1
intensitet stiger,1
svag,1
kompleks,1
dyb ,1
svagt appelsin,1
tung sødme,1
svagt røget,1
svag eftersmag,1
besk,1
smags rampe,1
kuldioxid rig,1
sød duft,1
let citrus,1
el dorado humle,1
mismatch (smag vs. duft),1
aggressiv,1
syrlig ,1
mystisk,1
aggresiv,1
syre,1
syrlig æble,1
overgæret,1
mere markant smag,1
kraftigt,1
meget sød,1
karamel,1
meget mild,1
sidder ikke på tungen,1
kort eftersmag,1
forsvinder,1
dyb,1
forsvinder hurtigt,1
dyb duft,1
rævepis,1
hvede,1
lugter som den smager,1
overaskelse,1
fylder meget,1
appelsiner,1
nelikker,1
julet,1
modig,1
humle ,1
