Attribut,Counter
røget,9
stærk,9
tung,9
bitter ,8
mild,7
eftersmag,6
gran,6
frisk,6
krydret,6
frugtig,6
fyldig ,6
karamel,5
flad,5
bitter eftersmag ,5
rund,5
sommerlig,5
kraftig,5
harsk,5
sur,5
mørk ,4
tør ,4
sød ,4
sød duft,4
lang eftersmag ,4
gennemtrængende,4
frugt,4
mørk,3
syrlig duft,3
kirsebær,3
sprittet ,3
hyldeblomst,3
bær,3
rund ,3
harmonisk,3
gæret,3
voldsom,3
ipa,3
frisk ,3
tyk ,2
sprittet lugt ,2
klistret ,2
jordbær duft,2
sødt,2
ubehagelig,2
havne øl,2
behagelig,2
blomster duft ,2
neutral duft,2
passionsfrugt duft ,2
let ,2
citron,2
luftig,2
sødlig,2
honning duft ,2
syrlig ,2
lakrids,2
bark,2
karamel ,2
sød duft ,2
tung smag,2
kedelig,2
almindelig,2
blød,2
fremtonende,2
karamel lugt ,2
bitter eftersmag,2
citrus duft ,2
humle ,2
mild duft ,2
frugt duft ,2
rugbrød,2
kraftig smag,2
barsk,2
neutral,2
mild duft,2
frugtlig,2
bær duft,2
frugtig duft,2
mild eftersmag,2
stærk procent,2
vandet,2
børnechampange ,2
røget ,2
sur ,2
bitter,19
syrlig,12
let,12
sød,11
særlig,1
let eftersmag,1
mørkere øl,1
sødlig ,1
syrlig sodavand,1
stærk smag,1
billig smag,1
maltede,1
umodne bær,1
normal,1
meget voldsomsyrlig smag,1
træls ,1
frustrerende,1
sødlig duft,1
intens,1
tør eftersmag,1
gennemsnit øl,1
stærk duft ,1
sødme ,1
bundslatter ,1
alkoholfriøl ,1
tør  ,1
kedelig ,1
humlet ,1
små sure shots,1
sætter sig i halsen,1
svag duft ,1
børnechampagne,1
nøddeagtig ,1
ipa eftersmag ,1
classic,1
øl der prøver at være champange,1
pilsner duft,1
vin hybrid,1
meget rund,1
tynd aroma ,1
stærk eftersmag,1
boblet,1
smagsindtryk,1
malt,1
lagavulin 16 ,1
cognac,1
mange nuancer,1
efterårsøl,1
kanel ,1
jul ,1
frisk duft ,1
spritte duft ,1
hvedesmag ,1
tynd smag ,1
blid duft ,1
lidt harsk,1
hidsig ,1
lakrids duft ,1
stræk ,1
lakrids ,1
bobler,1
eddike,1
sødlig smag,1
ingen eftersmag,1
god,1
lidt bitter,1
rund duft,1
almindelig øl,1
blød fornemmelse i munden,1
nem ,1
fremtydig,1
flad ,1
let ipa,1
frugtjuice duft,1
kunstig jordbær duft,1
toiletrens duft,1
syntestisk jordbær ,1
multijuice,1
børnesmag ,1
frugtjuice,1
 multijuice duft,1
kønsløs ,1
lidt smagløs,1
randers øl ,1
lidt brus,1
sødt ,1
frugtagtigt,1
carlsberg duft,1
sol,1
frugtet duft,1
børnevitaminer ,1
fornuftig,1
kvindelig,1
jordbærsmag ,1
nem,1
sommerligt,1
sur slik ,1
besk,1
citrus,1
syrlig kirsebær ,1
autocitron ,1
masser af smag,1
fugtig,1
teknisk smag ,1
kemisk ,1
syntetisk duft,1
lys,1
syntetisk ,1
smager ikke af øl,1
lys ,1
whisky duft ,1
vandet ,1
ikke bitter ,1
ølsats duft ,1
kønsløs duft ,1
gær duft ,1
let duft ,1
neutral ,1
let fornemmelse,1
kraftig brus,1
ingen øl smag,1
ungdom,1
sodavand,1
tis lugt,1
frugt duft,1
ætser tungen,1
syrlig smag,1
ikke bitter,1
ølsmag,1
tør,1
kanelet,1
kraftig i smag,1
jule ipa,1
citrus smag,1
frisk smag,1
tør smag,1
mild smag,1
smager ungt,1
toiletrens ,1
meget alkohol,1
mørk duft ,1
bål agtig,1
festival øl,1
olie ,1
karmelisteret ,1
lækker duft,1
behagelig ,1
dejlig syrlig eftersmag,1
hænger lidt,1
morfar,1
breezerlig,1
citron duft ,1
ødelagt mælkebøtte duft ,1
skarp lugt ,1
varm cola,1
sodavandsis duft ,1
frugt ,1
hængende,1
pigelig,1
sæbe duft ,1
blomst,1
brændtemandler duft ,1
honning eftersmag ,1
synetstisk ,1
frugtet,1
eftersmag sidder længe,1
dejlig duft,1
kradsende eftersmag ,1
sidder i halsen,1
brændt,1
hyldebær,1
meget smag,1
vingummi,1
juice,1
saft,1
parfumeret duft ,1
mjød duft ,1
mandig,1
bål røget,1
brækfornemmelse,1
gammel,1
vinelig,1
uventet,1
tung duf,1
efterårlig,1
ukendelig,1
mørk chokolade,1
mandlig,1
værtshus,1
forfærdelig,1
ubehagelig duft,1
duften fra stærk rom,1
hærsk smag,1
tyk,1
anis,1
gammeldags,1
brunt værtshus,1
meget bitter,1
tynd ,1
skarp ,1
passionsfrugt ,1
slik ,1
dyb,1
surt,1
nelike,1
glad for den,1
kaffe farvet,1
lugter af rom,1
spiritus,1
sidder længe,1
staut eller porter,1
bourbon duft ,1
blid ,1
tang duft ,1
ristet smag,1
øllebræds duft ,1
pandekage duft ,1
ikke tør ,1
blid eftersmag ,1
rom og cola ,1
rom og cola duft ,1
oliet fornemels ,1
ikke så harmonisk,1
skrap lugt ,1
citrus lugt ,1
hyldeblomst lugt ,1
bourbon ,1
skrap ,1
fisk ,1
brændt smør duft ,1
bodega  ,1
sløv ,1
stærk syrlig smag,1
gærlig,1
kvalmende,1
fastsættende,1
special øl,1
forvirrende,1
skuffende,1
bitter smag,1
kradser,1
let fornemmelse og eftersmag,1
meget anderledes og speciel smag,1
bodega agtig,1
uharmonisk,1
røget duft ,1
