Attribut,Counter
vandet,8
eftersmag,8
harsk,7
fugtig,1
masserafsmag,1
gran,7
frisk,27
citrus,17
syrlig,46
besk,3
sød,47
frugt,22
let,24
bitter,83
sommerligt,1
nem,2
frugtig,36
kvindelig,1
fornuftig,2
mild,23
citron,6
sol,1
sommerlig,7
rund,15
behagelig,3
multijuice,3
ipa,15
frugtjuice,1
frugtjuiceduft,1
multijuiceduft,1
lidtsmagløs,1
flad,12
lidtbrus,1
sødt,9
frugtagtigt,1
carlsbergduft,1
lys,4
sødduft,8
frugtduft,3
bærduft,3
mildduft,4
mildsmag,2
tørsmag,2
frisksmag,1
citrussmag,1
juleipa,1
kraftigismag,1
kanelet,1
tør,8
ølsmag,1
sur,15
ætsertungen,1
tislugt,1
neutral,7
barsk,2
tung,22
kedelig,4
kraftigbrus,1
letfornemmelse,1
letduft,2
gærduft,1
kønsløsduft,1
ølsatsduft,1
ikkebitter,6
kønsløs,3
letipa,1
sødme,3
bundslatter,1
alkoholfriøl,1
fyldig,13
humlet,2
stærkduft,1
svagduft,1
citrusduft,2
nøddeagtig,6
ipaeftersmag,1
classic,2
bittereftersmag,15
sættersigihalsen,2
gennemsnitøl,1
billigsmag,1
kraftig,28
leteftersmag,2
mørkereøl,2
sødlig,5
stærk,16
særlig,1
maltede,1
blød,6
normal,1
almindelig,2
træls,1
frustrerende,1
neutralduft,2
pilsnerduft,1
tungsmag,3
megetrund,1
lidtharsk,1
gæret,10
blødfornemmelseimunden,1
almindeligøl,1
rundduft,2
lidtbitter,3
karamel,15
ingeneftersmag,2
sødligsmag,1
karamellugt,2
humle,9
mørk,14
hidsig,2
blidduft,1
tyndaroma,2
tyndsmag,1
hvedesmag,1
sprittet,8
friskduft,1
kraftigsmag,11
efterårsøl,1
mangenuancer,2
krydret,18
røget,21
malt,7
smagsindtryk,1
boblet,1
stærkeftersmag,3
megetalkohol,1
frugtlig,2
mandig,1
gærlig,1
kvalmende,1
fastsættende,1
specialøl,1
forvirrende,1
skuffende,1
stærksyrligsmag,1
bittersmag,2
letfornemmelseogeftersmag,1
megetanderledesogspecielsmag,1
bodegaagtig,1
uharmonisk,1
syrligduft,4
frugtigduft,2
mildeftersmag,2
bodega,1
ikkesåharmonisk,1
brændtsmørduft,1
øllebrædsduft,1
pandekageduft,1
rugbrød,4
langeftersmag,10
passionsfrugtduft,2
ristetsmag,2
olietfornemels,1
skraplugt,1
citruslugt,1
hyldeblomstlugt,1
sprittetlugt,2
skrap,1
fisk,1
springerimunden,1
odensepilsner,2
værtshus,2
spids,3
klistret,3
krads,1
chokolade,8
stærkprocent,2
træ,2
langvarigeftersmag,1
cigaretter,1
kuldioxid,1
julelig,1
tanget,1
hav,1
mandelig,1
ubehagelig,2
stormende,1
kraftigduft,4
lidttungeftersmag,1
havneøl,2
tungereduft,1
bitterduft,1
tungeftersmag,1
ubefornemmelseimunden,1
røgetsmag,3
gennemtrængende,6
blomsterduft,2
vingummiduft,1
askebægerduft,1
tyk,6
sportscola,1
honningkage,2
fladeftersmag,1
gammel,3
sløv,1
tangduft,1
blid,2
brændtemandlerduft,1
honningeftersmag,1
hyldeblomst,7
frugtet,1
eftersmagsidderlænge,1
dejligduft,1
blomst,1
bær,5
brændt,4
hyldebær,1
megetsmag,2
vingummi,3
juice,2
saft,2
sidderihalsen,1
pigelig,1
breezerlig,1
hængende,1
harmonisk,4
luftig,4
lækkerduft,1
dejligsyrligeftersmag,1
hængerlidt,1
festivaløl,2
citronduft,1
ødelagtmælkebøtteduft,1
skarplugt,1
varmcola,1
sodavandsisduft,1
parfumeretduft,1
sæbeduft,1
mjødduft,1
honningduft,2
tynd,3
skarp,10
passionsfrugt,11
slik,1
dyb,4
lakrids,11
surt,2
gladforden,1
kaffefarvet,1
lugterafrom,1
spiritus,1
sidderlænge,1
stautellerporter,1
nelike,1
anis,2
mørkchokolade,4
brækfornemmelse,1
vinelig,1
uventet,1
bark,3
efterårlig,1
bålrøget,1
ukendelig,1
voldsom,3
fremtonende,3
forfærdelig,1
ubehageligduft,1
duftenfrastærkrom,1
hærsksmag,1
bålagtig,1
stærksmag,1
mandlig,1
tungduf,1
bruntværtshus,1
megetbitter,4
gammeldags,2
morfar,1
karmelisteret,1
olie,2
kradsendeeftersmag,1
synetstisk,1
bourbonduft,1
whiskeyduft,1
tjæreduft,1
sherryduft,1
portvinduft,1
sprittetrosiner,1
bourbon,2
romogcoladuft,1
romogcola,1
blideftersmag,1
ikketør,1
kradser,1
tørvduft,1
røgetduft,1
mørkduft,1
whiskyduft,1
lagavulin16,1
cognac,3
kanel,5
jul,3
spritteduft,1
lakridsduft,1
stræk,1
bobler,1
eddike,1
god,1
vinhybrid,1
kirsebær,5
ølderprøveratværechampange,1
sødligduft,1
megetvoldsomsyrligsmag,1
umodnebær,2
syrligsodavand,1
intens,2
tøreftersmag,1
børnechampagne,3
småsureshots,1
fremtydig,1
ingenølsmag,1
ungdom,1
sodavand,2
smagerikkeaføl,2
syrligsmag,1
smagerungt,1
toiletrens,2
syntetisk,3
syntetiskduft,1
randersøl,1
børnesmag,1
syntestiskjordbær,1
børnechampange,2
toiletrensduft,1
kunstigjordbærduft,1
frugtetduft,1
børnevitaminer,1
jordbærsmag,1
surslik,1
syrligkirsebær,1
autocitron,1
teknisksmag,1
kemisk,2
jordbærduft,2
rose,1
æblecider,2
æble,4
dramatisk,1
røg,6
sødrug,1
metalisksmag,1
fladsmag,1
alkoholfri,3
letfermenteret,1
blomme,1
rundismagen,2
æbleduft,3
sadtevand,1
kaffe,25
mediumølduft,2
intetsigende,2
markant,3
fyldigduft,1
højalkoholprocent,1
balancemellembitterogsødme,1
mørkismagen,1
ristet,4
sidderimunden,1
ingenhumle,1
duftafcider,1
aromatisk,4
simpel,2
standard,2
svagsødme,2
