Attribut,Counter
citrus agtig,1
 frisk,2
 bitter,3
 smager ikke af ipa,1
 men stadig bitter,1
 sød,1
 ikke vammelt sød,1
 syrlig,4
 eftersmag ikke super stærk pga citrus ikke kraftig,1
 på nippet til at smage af fortyndet med limonade,1
 saftig men vandet,1
 let ikke tung,1
 sød i starten,1
 bedre end en tuborg,1
 simpel,1
 sødt,1
 meget mere bitter,1
 aromatisk,2
 stærk smag kraftig,1
 rund smag,1
 kraftig/fyldig,1
 nødde agtig,2
 meget sur,1
 standard,1
 smager af øl,1
 meget gæret,1
 meget søde,1
bitter,15
 fersken,1
 meget sød,1
 lang eftersmag,1
 citrus,1
 malt,1
 bitter eftersmag/klam,1
 meget stærk eftersmag,1
 besk,1
 vammelt,1
 svag,1
 ikke frugtagtig ift anden “ipa”,1
 første del af smag er svag ift eftersmag der tager over,1
 krampe?,1
 frugt,1
 jul,1
 nelliker,1
 appelsiner,1
 ikke så meget kraft,1
 meget let i smagen,1
 ikke særlig stærk eftersmag,1
 smagen af sødme varede længere tid,1
 fylder,1
 meget blød i smagen,1
 brændt smag,1
 brændt marcipan,1
 meget kraftig når man får den i munden,1
 mere tyk i smagen,1
 smager af honning uden at være sød,1
 smager af noget sødt der er brændt uden det søde,1
 ikke en grim smag bare ikke sødt,1
 grim smag,1
 overbemandede smagsløg,1
 ru på tungen,1
 smager bare af røg,1
 meget svag frugtig eftersmag men mest af røg,1
 eftersmag af kaffe,1
 ikke så kraftig i starten,1
 kraftig i starten men “går ud” og bliver frugtsmag,1
 nødder/frugt,1
 kan ikke smage meget andet end nødder/frugt,1
 bitter smag,1
 smag af frugt før bitterhed,1
 meget lille eftersmag af bitre eller beske æbler,1
 syrlig andre smage kunne ikke komme frem,1
 mild,1
 neutral,2
sød,12
smager ikke af æble,1
vandt,1
let,4
rug som i rugbrød,1
ikke bitter,1
 humlede,1
frisk,5
blød,1
vandede,1
intetsigende,1
kraftig,8
hummel,1
klassik,1
kaffe,6
frugtig,7
passionsfrugt,2
sur,3
skarp,2
svag sødme,1
aggressiv,1
syrlig,8
markant,1
humle,2
citron,2
mystisk aroma,1
krydret,1
tung,4
kompleks,1
aroma af kanel,1
appelsin,1
nellike,1
mild bitter,1
chokolade,3
dyb,1
mørk,4
fyldig,2
krydret ,1
citrus,5
citron kerner,1
dominerende,1
frugt (blomme måske),1
rund,3
flad (ift smagen,1
 ikke bobler),1
metalsmag,1
tilgivende (alkoholfri),1
ikke så kraftig,1
mørk smag,1
ristet smag,1
længere eftersmag,1
flad,5
høj procent af alkohol,1
kraftig smag ,1
skarp smag,1
langvarig smag,1
mere metallisk smag,1
gode balance mellem humlen og søde,1
citraøl,1
bitterhed,1
gærsmag,2
minder om ipa,1
frugt,3
spids,2
ale (gæret ved høj temperatur),1
mild,2
mindre kulsyre,1
ipa,2
mildere ipa,1
mosaik humle,1
weissbier,1
rævepis,1
syrligt (æble),1
eftersmag med bitter,1
lakrids,3
ristet,2
markant afrundet smag,1
karamel,4
sødme,1
bitter eftersmag,2
balanceret smag,1
mange smag,1
lang eftersmag,4
kaffe (kraftig),1
røg,2
brændt,1
smager som porter men er lys,1
mørk chokolade,2
meget bitter,2
humlen (stærk),1
citra,1
bitterhed på tungen,1
stikker på tungen,1
frisk sommerlig let,1
 frugtig,2
 rund,1
 mild smag,1
 fornuftig,1
 smager dyr,1
 ingen eftersmag,1
 modsatte af kvalmende,1
 smager af sommer,1
 smager af at ligge på en græsplæne,1
  ,1
meget bitter og bliver hængende i munden,1
 tung smag,1
 ret let at drikke,1
 sommerlig,2
 kedelig,1
 siger ikke så meget,1
 har ikke noget der udskiller sig,1
 bundfalds-smag,1
stærk,1
 harsk,1
 lidt bitter,1
 blød,1
 gæret,2
 ikke slem eftersmag forsvinder hurtigt,1
 hænger kvalmende i munden,1
 hænger ikke,1
 vandet,1
 voldsom smag,2
røget,3
 gennemtrængende,2
 tung,1
 ikke så meget eftersmag,1
 lidt tungere eftersmag,1
 stærk,1
 luftig,1
 bitter eftersmag,1
 ikke så meget bitter,1
 meget mild eftersmag,1
 harmonisk,1
 festival øl,1
 forfriskende,1
smager ikke af øl,1
 bark,1
 meget røget som bål,1
 maltet,1
 stærk spiritus,1
 let,1
 ligger ikke i munden,1
 ikke eftersmag,1
 fremtonende,1
 efterårsagtig,1
 meget sur/syrlig,1
 sodavand,1
 sure shots,1
 smager ikke af øl men syrlig sodavand,1
 ikke sød sodavand,1
 meget stærk,1
 intens,1
 gør munden tør,1
 rosé men meget kraftig,1
 børne champagne,1
multijuice,1
let bitter,1
vandet,2
smager ikke af så meget,1
flad (ikke så meget brus),1
tør,2
 hvede,1
nødde,1
bitter (som en øl skal være),1
smag af bundslat,1
lys,1
kønsløs,1
meget let ipa,1
ingen bitterhed,1
flere procenter,1
lidt stærkere,1
mere sprittet,1
hidsig,1
mindre tør,1
tynd,1
for meget hvede,1
en smule mørk,1
øllebrød,1
klistret,1
smule sprittet,1
fyldig humle,1
skarp fisk,1
odense pilsner,1
rugbrød,2
cola vingummi,1
tyk,2
meget smag,1
blid,1
honningkage,1
gammel varm cola,1
ipa ,1
tynd fornemmelse,1
olie/bilolie,1
whiskey,1
sprittede rosiner,1
kanel,2
sprittet,1
cognac,1
syntetisk,1
fedtet,1
kunstig jordbær,1
børnevitaminer med jordbær smag,1
tør rosé ,1
syrlige kirsebær (slik),1
kunstig citron (auto citron),1
teknisk,1
kemisk,1
børnechampagne,1
god smag,1
gran,1
eftersmag af øl,1
ikke så vedvarende eftersmag,1
beesk,1
kildede på tungen,1
kraftig eftersmag,1
gransmag,1
tør smag,1
kraftig smag,2
lav kulsyre,1
bitter (mere end en tuborg classic),1
let eftersmag,1
mørkere øl,1
krydret smag,1
syrlig i starten med bitter smag,1
sætter sig i halsen,1
malt,1
bitter eftersmag (kort),1
mange nuancer,1
eftersmag af krydret ,1
sødt til bitter smag,1
meget kulsyre,1
smule røget,1
træ,1
røget smag,2
rund smag,1
frugt undertoner,1
ikke så bitter,1
eftersmag af karamel,1
lavere kulsyre,1
juice/saft,1
meget bitter eftersmag,1
eftersmag af bær,1
smagen på fronten af tungen,1
tyk konsistens,1
harsk,1
stærk spiritus,1
dyb karamel,1
surt,1
blød eftersmag,1
stout/porter,1
anis/nellike,1
sød eftersmag,1
lidt sød,1
meget syrlig,1
mange bobler,1
lidt eddike,1
god eftersmag,1
,1
